1	<html>@1<br> -Một</html>
chấp nhận	<html>@chấp nhận<br>-@chấp nhận<br>* verb<br>- To accept, to agree to<br>=chấp nhận đơn+to accept a request</html>
chấp nhặt	<html>@chấp nhặt<br>-@chấp nhặt<br>- To resent (petty mistakes..)<br>=chấp nhặt những chuyện ấy làm gì+don't resent such trifles<br>=tính không hay chấp nhặt+to have no disposition to resent trifles</html>
chấp nê	<html>@chấp nê<br>-@chấp nê<br>- như chấp nhất</html>
chấp thuận	<html>@chấp thuận<br>-@chấp thuận<br>* verb<br>- To grant, to agree to</html>
chất	<html>@chất<br>-@chất<br>* noun<br>- Substance, matter<br>=chất mỡ+fat substance<br>-Quality<br>=cải tạo chất đất+to improve the quality of the soil<br>=vở kịch có nhiều chất thơ+the play has much poetic quality in it<br>=sự thay đổi về lượng dẫn tới sự biến đổi về chất+change in the quantity leads to change in the quality<br>* verb<br>- To heap, to pile<br>=chất hàng lên xe+to pile goods in a car, to load the car with goods<br>=củi chất thành đống+firewood piled in heaps</html>
chất béo	<html>@chất béo<br>-@chất béo<br>- Lipid</html>
chất cha chất chưởng	<html>@chất cha chất chưởng<br>-@chất cha chất chưởng<br>- xem chất chưởng</html>
chất cháy	<html>@chất cháy<br>-@chất cháy<br>- Inflammable</html>
chất chưởng	<html>@chất chưởng<br>-@chất chưởng<br>* adj<br>- Inconsistent in words, erratic, unreliable<br>=anh ta chất chưởng lắm+he is very erratic<br>=ăn nói chất chưởng+to be inconsistent in words</html>
chất chứa	<html>@chất chứa<br>-@chất chứa<br>* verb<br>-cumulate; to amass</html>
chất dẻo	<html>@chất dẻo<br>-@chất dẻo<br>- Plastic</html>
chất khoáng	<html>@chất khoáng<br>-@chất khoáng<br>- Mineral matter</html>
chất khí	<html>@chất khí<br>-@chất khí<br>* noun<br>-Gas</html>
chất kích thích	<html>@chất kích thích<br>-@chất kích thích<br>* noun<br>-Stimulant</html>
chất liệu	<html>@chất liệu<br>-@chất liệu<br>* noun<br>- Material<br>=sơn dầu là một chất liệu của hội hoạ+oil is a painting material<br>=thực tế đấu tranh và sản xuất là chất liệu phong phú của sáng tác nghệ thuật+the facts of the fighting and production are seminal materials for artistic creation</html>
chất lưu	<html>@chất lưu<br>-@chất lưu<br>- Fluid</html>
chất lượng	<html>@chất lượng<br>-@chất lượng<br>* noun<br>- Quality<br>=đánh giá chất lượng sản phẩm+to appraise the quality of products</html>
chất lỏng	<html>@chất lỏng<br>-@chất lỏng<br>- Liquid</html>
chất nổ	<html>@chất nổ<br>-@chất nổ<br>- Explosive</html>
chất phác	<html>@chất phác<br>-@chất phác<br>- Simple, rustic<br>=người nông dân chất phác+a rustic peasant<br>=tâm hồn chất phác+a rustic soul</html>
chất rắn	<html>@chất rắn<br>-@chất rắn<br>- Solid</html>
chất vấn	<html>@chất vấn<br>-@chất vấn<br>* verb<br>- To question<br>=xã viên có quyền phê bình, chất vấn ban quản trị+the cooperative members have the right to criticize and question the management committee<br>=chất vấn ai trước hội nghị+to question somebody at a meeting</html>
chất xám	<html>@chất xám<br>-@chất xám<br>- Grey matter</html>
chất đạm	<html>@chất đạm<br>-@chất đạm<br>- Nitrogenous matter, protein</html>
chất đốt	<html>@chất đốt<br>-@chất đốt<br>- Fuel</html>
chất độc	<html>@chất độc<br>-@chất độc<br>* noun<br>-toxic; poison</html>
chấu	<html>@chấu<br>-@chấu<br>* noun<br>- như châu chấu<br>=buồn như chấu cắn+gloomily sad</html>
chấy	<html>@chấy<br>-@chấy<br>* noun<br>- Head louse<br>* verb<br>- To grill and ground<br>=tôm chấy+grilled and grounded shrimp</html>
chầm	<html>@chầm<br>-@chầm<br>* adv<br>- With sudden haste<br>=đứa bé chạy đến ôm chầm lấy mẹ+the child ran up to and clasped his mother with sudden haste</html>
chầm bập	<html>@chầm bập<br>-@chầm bập<br>* adj<br>- Warm<br>=sự đón tiếp chầm bập+a warm welcome</html>
chầm chậm	<html>@chầm chậm<br>-@chầm chậm<br>- Rather slow</html>
chầm chập	<html>@chầm chập<br>-@chầm chập<br>* adv<br>- With utter partiality<br>=bênh con chầm chập thì giáo dục sao được con+if one takes one's children's side with utter partiality, one cannot educate them properly</html>
chần	<html>@chần<br>-@chần<br>* verb<br>- To stitch<br>=chần rồi mới may+to stitch before sewing<br>=chần áo bông+to stitch a padded cotton jacket<br>-To scald, to blanch<br>=chần bầu dục+to blanch kidneys<br>=chần mì+to scald vermicelli<br>-To dress down<br>=chần cho ai một trận+to dress somebody down, to give somebody a dressing-down</html>
chần chừ	<html>@chần chừ<br>-@chần chừ<br>* verb<br>- To waver, to hum and haw, to dilly-dally<br>=đi ngay không một phút chần chừ+he set off without humming and hawing one minute<br>=thái độ chần chừ+a dilly-dallying attitude</html>
chầu	<html>@chầu<br>-@chầu<br>* noun<br>- Soiree with sing-song girls, soiree with geishas<br>-Round, bout, session<br>=đãi một chầu phở+to treat someone to a round of noodle soup<br>=xem một chầu xi nê+to attend a session of film show<br>=thết một chầu rượu+to pay for a drinking bout<br>-Period, season<br>=cuối chầu gặt+the end of the harvesting season<br>=chầu này trời hay mưa+it rains often in this period of time<br>=mắng cho một chầu+to scold (someone) for a length of time<br>* verb<br>-</html>
chầu chực	<html>@chầu chực<br>-@chầu chực<br>- To attend upon (a mandarin..)<br>-To cool one's heels<br>=việc chẳng có gì mà bắt người ta phải chầu chực suốt buổi chiều+it was no matter of importance, still they had to cool their heels for a whole afternoon</html>
chầu rìa	<html>@chầu rìa<br>-@chầu rìa<br>- To look on (a game of cards..), to kibitz<br>=chầu rìa một đám bạc+to look on a gambling bout<br>=ngồi chầu rìa mách nước+to kibitz and give tips</html>
chầu trời	<html>@chầu trời<br>-@chầu trời<br>* verb<br>-To die; to pass away</html>
chầu văn	<html>@chầu văn<br>-@chầu văn<br>* noun<br>- Chant sung for a trance</html>
chầy	<html>@chầy<br>-@chầy<br>* adj<br>- Later<br>=chẳng chóng thì chầy+sooner or later<br>-Long<br>=bấy chầy+for long, since long, ever since</html>
chẩm	<html>@chẩm<br>-@chẩm<br>- Occipital<br>=xương chẩm+occipital bone</html>
chẩn	<html>@chẩn<br>-@chẩn<br>* verb<br>- (dùng hạn chế trong một vài tổ hợp) To give alms, to give relief<br>=lĩnh chẩn+to receive alms</html>
chẩn bần	<html>@chẩn bần<br>-@chẩn bần<br>* verb<br>- To give alms to the poor</html>
chẩn bệnh	<html>@chẩn bệnh<br>-@chẩn bệnh<br>- To diagnose a disease, to diagnose</html>
chẩn bịnh	<html>@chẩn bịnh<br>-@chẩn bịnh<br>* verb<br>-to diagnose; to examine a disease</html>
chẩn mạch	<html>@chẩn mạch<br>-@chẩn mạch<br>- (y học, cũ) Diagnose by feeling the pulse (of a patient)</html>
chẩn trị	<html>@chẩn trị<br>-@chẩn trị<br>- (y học, cũ) Diagnose and traet</html>
chẩn y viện	<html>@chẩn y viện<br>-@chẩn y viện<br>* noun<br>-Dispensary</html>
chẩn đoán	<html>@chẩn đoán<br>-@chẩn đoán<br>* verb<br>- To diagnose, to make a diagnosis<br>=chẩn đoán đúng cho nên điều trị có hiệu quả+because they have made a correct diagnosis, their treatment proves to be effective<br>=chẩn đoán bệnh+to diagnose a disease</html>
chẩu	<html>@chẩu<br>-@chẩu<br>- như chảu</html>
chẫu chuộc	<html>@chẫu chuộc<br>-@chẫu chuộc<br>* noun<br>- Hylarana</html>
chẫu chàng	<html>@chẫu chàng<br>-@chẫu chàng<br>* noun<br>- Racophorus</html>
chậc	<html>@chậc<br>-@chậc<br>- từ cảm<br>-Well<br>=chậc! đi thì đi+well, let's go if you like</html>
chậm	<html>@chậm<br>-@chậm<br>* adj<br>- Slow<br>=ngựa chạy chậm, rồi dừng lại+the horse ran slowly then stopped; the horse slowed down to a stop<br>=ăn chậm nhai kỹ+eat slowly and chew carefully<br>=làm chậm bước tiến của phong trào+to make the advance of the movement slower; to slow down the advance of the movement<br>=chậm hiểu+to be slow in understanding<br>=sự phát triển chậm+a slow development<br>=đồng hồ chậm năm phút+the watch is five minutes slow<br>=anh ấy là người cẩn thận nhưng hơi chậm</html>
chậm chạp	<html>@chậm chạp<br>-@chậm chạp<br>* adj<br>- Slow<br>=bước tiến chậm chạp+a slow advance<br>=dáng điệu chậm chạp+a slow gait</html>
chậm rãi	<html>@chậm rãi<br>-@chậm rãi<br>* adj<br>- (nói về động tác) Deliberate, leisurely<br>=bước đi chậm rãi+leisurely steps<br>=nói chậm rãi+to speak deliberately<br>=trâu chậm rãi nhai cỏ+the buffalo leisurely chewed grass</html>
chậm tiến	<html>@chậm tiến<br>-@chậm tiến<br>- Lagging behind, underdeveloped<br>=người tiên tiến dìu dắt người chậm tiến+those who are ahead guide those who are lagging behind<br>=các nước chậm tiến+the underdeveloped countries</html>
chậm trễ	<html>@chậm trễ<br>-@chậm trễ<br>- Tardy<br>=sự liên lạc chậm trễ+tardy liaison<br>=giải quyết công việc chậm trễ+to settle business tardily<br>=có lệnh là đi ngay, không chậm trễ một phút+to set off not one minute tardy after receiving orders, to set off without delay on receiving orders</html>
chận	<html>@chận<br>-@chận<br>- như chặn</html>
chận đứng	<html>@chận đứng<br>-@chận đứng<br>* verb<br>- to arrest; to cheek, to stop</html>
chập	<html>@chập<br>-@chập<br>* noun<br>- như chặp<br>* verb<br>- To fasten together, to twist together<br>=chập hai sợi dây buộc cho chắc+to fasten together two strings for more solidity<br>=sợi chỉ xe chập ba+a thread made of three strands twisted together, a three-strand thread<br>=sợi len chập bốn+four-ply wool thread<br>-To put in direct contact (electric wire); to tangle (a watch hairspring..)<br><br>@<br>- chạp mả<br>-Visit one's ancestor tombs (at the end of the Lunar Year)</html>
chập choạng	<html>@chập choạng<br>-@chập choạng<br>* adj<br>- Half-light, twilight<br>=trời vừa chập choạng tối+it was twilight<br>=ánh sáng chập choạng của hoàng hôn+the half-light of dusk<br>-Unsteady, tottering<br>=những bước đi chập choạng của người mù+the unsteady steps of the blind<br>=đi chập choạng trong đêm tối+to totter in the dark, to grope one's way in the dark<br>=con dơi bay chập choạng+the bat flies unsteadily</html>
chập chà chập choạng	<html>@chập chà chập choạng<br>-@chập chà chập choạng<br>- xem chập choạng</html>
chập chà chập chờn	<html>@chập chà chập chờn<br>-@chập chà chập chờn<br>- xem chập chờn</html>
chập chờn	<html>@chập chờn<br>-@chập chờn<br>* verb<br>- To doze<br>=mỗi đêm chỉ chập chờn được vài ba tiếng đồng hồ+to doze a few hours every night<br>=giấc ngủ chập chờn+a broken sleep<br>-To flicker<br>=ánh lửa chập chờn như sắp tắt+the glow flickered as if it was going out<br>=những hình ảnh của quê hương cứ chập chờn trước mắt+images of the native land flickered before his eyes</html>
chập chững	<html>@chập chững<br>-@chập chững<br>* adj<br>- Toddling<br>=tập đi từng bước chập chững+to learn how to walk by toddling<br>=em bé mới chập chững biết đi+the baby still toddles, the child is a toddler<br>=còn chập chững trong nghề+still a toddler in the trade, still a green born in the trade</html>
chập tối	<html>@chập tối<br>-@chập tối<br>- Dusk, nightfall<br>=từ mờ sáng đến chập tối+from early dawn to dusk<br>=trời vừa chập tối+it is nightfall</html>
chật	<html>@chật<br>-@chật<br>* adj<br>- Tight, narrow<br>=đôi giày chật+a pair of tight shoes<br>=người đông, nhà chật+large family, narrow house<br>-Overcrowded, crammed, packed<br>=quần áo nhét chật va li+clothes crammed into a suitcase<br>=người xem đứng chật hai bên đường+onlookers packed the two sides of the road<br>=chuyến tàu chật như nêm+an overcrowded train<br>=rạp hát chật ních những người+the theatre was packed with people</html>
chật chà chật chưỡng	<html>@chật chà chật chưỡng<br>-@chật chà chật chưỡng<br>- xem chật chưỡng</html>
chật chưỡng	<html>@chật chưỡng<br>-@chật chưỡng<br>* adj<br>- Unsteady, unstable, cranky<br>=giừơng kê chật chưỡng+the bed is cranky<br>=như chất chưởng</html>
chật chội	<html>@chật chội<br>-@chật chội<br>* adj<br>- Cramped<br>=ở chật chội+to live cramped up<br>=nhà cửa chật chội+cramped quarters, cramped housing</html>
chật hẹp	<html>@chật hẹp<br>-@chật hẹp<br>- Narrow, cramped<br>=ở chen chúc trong một gian phòng chật hẹp+to live cramped in a narrow room<br>=khuôn khổ chật hẹp của một bài báo+the narrow space of a newspaper article<br>=nếp suy nghĩ chật hẹp, cái nhìn chật hẹp của người sản xuất nhỏ+the narrow way of thinking, the narrow outlook of a small producer<br><br>-Petty<br>=tình cảm chật hẹp+petty feelings</html>
chật vật	<html>@chật vật<br>-@chật vật<br>* adj<br>- (nói về làm việc gì) Toilsome, tough, strenuous, requiring a lot of exertion<br>=phải chật vật lắm mới vượt qua được cái dốc trơn như mỡ+climbing that slippery slope required much exertion<br><br>=anh ta chật vật lắm mới làm xong được việc đó+he had to make a lot of exertion to get that job done<br>- nói về đời sống) Hard<br>=đời sống chưa được phong lưu, nhưng không còn chật vật như trước+life is not yet comfortable, but not so hard as before</html>
chậu	<html>@chậu<br>-@chậu<br>* noun<br>- Basin, pot<br>=chậu thau+a copper basin<br>=chậu giặt+a washing basin<br>=một chậu nước+a basin of water<br>=chậu hoa+a flower-pot</html>
chắc	<html>@chắc<br>-@chắc<br>* adj<br>- Solid, firm; secure, steady<br>=nhà xây rất chắc, bão to không hề gì+the house is very solidly built and will weather big storms<br>=lúa chắc hạt+the rice grain is very firm<br>=bắp thịt chắc+a firm muscle<br>=đinh đóng chắc+the nail is firmly driven in<br>=thang dựa chắc vào tường+the ladder is propped securely against the wall<br>=những bước tiến nhanh và chắc+rapid and steady advances<br>=một tác phẩm viết chắc tay+a work written with a steady hand<br>-Sure, surely</html>
